,disk_id,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_199,r_199,n_241,r_241,n_242,r_242,cluster,x_axis
54,470.0,99.0,4.0,96.0,15574.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8718806188.0,0,1
55,470.0,99.0,4.0,96.0,15598.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8720226316.0,0,2
56,470.0,99.0,4.0,96.0,15622.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8721518244.0,0,3
57,470.0,99.0,4.0,96.0,15646.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8722888452.0,0,4
58,470.0,99.0,4.0,96.0,15670.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8724136500.0,0,5
59,470.0,99.0,4.0,96.0,15694.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8725310732.0,0,6
60,470.0,99.0,4.0,96.0,15718.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8726483004.0,0,7
61,470.0,99.0,4.0,96.0,15742.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8727686076.0,0,8
62,470.0,99.0,4.0,96.0,15766.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8729018260.0,0,9
63,470.0,99.0,4.0,96.0,15790.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8730342684.0,0,10
64,470.0,99.0,4.0,96.0,15814.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8731592012.0,0,11
65,470.0,99.0,4.0,96.0,15838.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8732892028.0,0,12
66,470.0,99.0,4.0,96.0,15862.0,99.0,18.0,99.0,7.0,99.0,6524.0,100.0,0.0,100.0,0.0,99.0,4.0,100.0,0.0,100.0,0.0,71.0,29.0,71.0,29.0,200.0,0.0,100.0,0.0,99.0,13832360728.0,99.0,8734130428.0,0,13
