,r_5,r_9,r_12,r_177,r_180,r_181,r_182,r_183,r_184,r_187,r_190,r_194,r_195,r_199,r_241,r_242,label,pred
33485,0,1651,4,3,6559,0,0,0,0,0,31,31,0,0,4943446932,2789698222,0,0
33489,0,1747,4,3,6559,0,0,0,0,0,30,30,0,0,5073596580,2789723094,0,0
37469,0,1851,17,24,6583,0,0,0,0,0,27,27,0,0,44301048108,10812902896,0,0
37470,0,1875,17,25,6583,0,0,0,0,0,27,27,0,0,47686248708,10830665648,0,0
33496,0,1915,4,3,6559,0,0,0,0,0,32,32,0,0,5298771404,2789827158,0,0
33499,0,1987,4,4,6559,0,0,0,0,0,31,31,0,0,6755547860,2790197334,0,0
33500,0,2011,4,4,6559,0,0,0,0,0,31,31,0,0,6786039284,2790220398,0,0
37476,0,2019,17,26,6583,0,0,0,0,0,26,26,0,0,51884322172,11015128056,0,0
37477,0,2043,17,26,6583,0,0,0,0,0,27,27,0,0,51911958004,11019925664,0,0
33504,0,2107,4,4,6559,0,0,0,0,0,32,32,0,0,7103715180,2790350086,0,0
33506,0,2155,4,4,6559,0,0,0,0,0,31,31,0,0,7166192844,2790373230,0,0
37483,0,2187,17,27,6583,0,0,0,0,0,26,26,0,0,56687102740,12890839732,0,0
37485,0,2235,17,27,6583,0,0,0,0,0,27,27,0,0,56688605508,14975539180,0,0
33511,0,2275,4,4,6559,0,0,0,0,0,31,31,0,0,7519805156,2792718054,0,0
37488,0,2307,17,28,6583,0,0,0,0,0,26,26,0,0,57634369156,18370336628,0,0
37490,0,2355,17,29,6583,0,0,0,0,0,26,26,0,0,58547980540,21651143244,0,0
23906,0,2400,20,116,6506,0,0,0,0,0,38,38,0,0,4.50567E+11,2.05362E+11,0,0
23907,0,2424,20,117,6506,0,0,0,0,0,39,39,0,0,4.54332E+11,2.07432E+11,0,0
37493,0,2427,17,30,6583,0,0,0,0,0,28,28,0,0,60117994076,23522056804,0,0
23908,0,2448,20,118,6506,0,0,0,0,0,39,39,0,0,4.5813E+11,2.09442E+11,0,0
33519,0,2467,4,5,6559,0,0,0,0,0,32,32,0,0,8105086668,2793308662,0,0
23910,0,2496,20,120,6506,0,0,0,0,0,38,38,0,0,4.64745E+11,2.13002E+11,0,0
